,label,probability
647,0,1.0
648,1,1.0
649,1,3.264957641828306e-149
650,0,1.0
651,0,8.398928135387276e-87
652,0,1.9840601435505593e-115
653,0,0.0
654,1,2.859264482281777e-65
655,1,0.9981581229210785
656,0,2.4727646686845935e-75
657,1,1.6278508309393097e-11
658,0,1.3210843750534689e-73
659,1,3.45915217308103e-269
660,0,1.0
661,1,1.0
662,0,1.5145040866218023e-213
663,1,1.0
664,0,0.0
665,1,1.0
666,1,1.0
667,0,1.0
668,0,0.34754797444555424
669,1,1.0
670,0,1.0
671,1,1.0
672,1,1.0
673,0,0.0
674,1,1.0
675,0,9.891963165143855e-115
676,0,9.223600505459399e-21
677,0,0.9999999997664872
678,0,1.87594737069633e-44
679,1,1.0
680,0,3.5930801547695175e-66
681,1,8.30802643225802e-57
682,0,1.0
683,1,1.0
684,1,1.0
685,1,1.0
686,0,1.0
687,1,1.2638422599063693e-201
688,1,6.297126264018022e-77
689,1,2.0466011469477593e-25
690,1,9.443289366386145e-20
